chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,ASUS B760M-AYW WIFI D4,4,LGA 1700
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,0,AM5
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B860M AORUS ELITE WIFI6E DDR5 Micro ATX,0,LGA 1851
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Biostar,128,DDR4,4,Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,6,LGA 1200
Intel H410,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock H410 M/ac DDR4 Micro ATX,4,LGA 1200
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B560M Pro4 LGA1200 DDR4 Micro ATX,6,LGA 1200
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI PRO B650M-P,4,AM5
AMD A320,Micro ATX,,MSI,32,DDR4,2,MSI A320M PRO-VD PLUS AM4 DDR4 Micro ATX,4,AM4
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B850 Pro RS WiFi AM5 DDR5 ATX,0,AM5
Intel B860,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B860 Lightning WiFi DDR5 ATX,4,LGA 1851
AMD X870,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS X870 MAX GAMING WIFI7 W DDR5 ATX,0,AM5
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B550-A PRO (CEC),0,AM4
AMD B450,ATX,PCIe 3.0 x4,MSI,64,DDR4,4,MSI B450-A PRO MAX,6,AM4
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B650M C AM5 DDR5 Micro ATX,4,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MAXSUN,192,DDR5,4,MAXSUN B760 iCraft B760M CROSS LGA1700 DDR5 Micro ATX,4,LGA 1700
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B560 PRIME B560M-A AC LGA1200 DDR4 Micro ATX,6,LGA 1200
AMD B650,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS TUF GAMING B650-PLUS,4,AM5
AMD B650,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus PRIME B650-PLUS WIFI,4,AM5
AMD A520,Micro ATX,SATA / PCIe 3.0 x4/x2,Gigabyte,64,DDR4,2,Gigabyte A520M H (rev. 1.x),4,AM4
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B850 AI TOP AM5 DDR5 ATX,0,AM5
