cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
64,256,cpu,3.2,5.4,,,,,64,None,AMD,4,,DDR5,Zen 5,AMD Ryzen Threadripper 9980X,007a5a23-1e12-45b7-90d0-565b80876539,cpu_0001,2025, Ryzen Threadripper 9000 Series,sTR5,350,128,9980X
5,15,cpu,3.5,3.8,,,,6,6,None,Intel,,,,Haswell,Intel Xeon E5 1650 V3 OEM/Tray 3.5 GHz 6-Core LGA2011-3,016d1180-e254-43da-ad22-67895ac633b6,cpu_0002,,Intel Xeon E5,LGA 2011-3,140,12,
1,8,cpu,3.5,3.9,,,,4,4,Intel HD Graphics P530,Intel,,,,Skylake,Intel Xeon E3 1245 V5 OEM/Tray 3.5 GHz 4-Core LGA1151,019f71b2-930f-4546-8496-5947f1ef06cb,cpu_0003,,Intel Xeon E3,LGA 1151,80,8,
5,35,cpu,2,3.2,,,,14,14,None,Intel,,,,Broadwell,Intel Xeon E5 2660 V4 2 GHz 14-Core LGA2011-3,01ad7eaa-17b3-46d8-a57b-3fcc7e513ad7,cpu_0004,,Intel Xeon E5,LGA 2011-3,105,28,
1,6,cpu,2.2,2.8,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i5 6400T 2.2 GHz 4-Core LGA1151 OEM/Tray,01b18e41-6a82-45f2-ab4c-5f08e7983406,cpu_0005,,Intel Core i5,LGA 1151,35,4,
32,36,cpu,1.1,5.3,0.8,3.9,,,24,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake,Intel Core i9 13900T 1.1 GHz 24-Core LGA1700 OEM/Tray,01c38047-7ff9-4c99-9e81-402b8aa3bb58,cpu_0006,,Intel Core i9,LGA 1700,35,32,
1,6,cpu,2.8,3.7,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i5 7600T 2.8 GHz 4-Core LGA1151,02241621-930c-4c48-bcf9-dfb1b3a3061a,cpu_0007,,Intel Core i5,LGA 1151,35,4,
9.5,20,cpu,2.5,4.7,1.8,3.5,4,6,10,,Intel,2,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i5 14400F 2.5 GHz 10-Core LGA1700,0240f7db-68e5-4aac-9438-41d2f12ec15a,cpu_0008,2024,Intel Core i5 14000,LGA 1700,65,16,14400F
1,8,cpu,4.2,4.5,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700K 4.2 GHz 4-Core LGA1151,0271c2f7-4b7c-4870-972a-3f941cb15eb4,cpu_0009,,Intel Core i7,LGA 1151,91,8,
4,16,cpu,3.8,4,,,,8,8,None,AMD,,,,Zen,AMD Threadripper 1900X 3.8 GHz 8-Core sTR4,027a11fe-1453-496a-a50b-33824cc8e3fd,cpu_0010,,AMD Threadripper,TR4,180,16,
5,25,cpu,3,3.5,,,,10,10,None,Intel,,,,Broadwell,Intel Core i7 Extreme 6950X 3 GHz 10-Core LGA2011-3,02d39666-7470-44e0-ab3a-0e7a1d24ebd6,cpu_0011,,Intel Core i7 Extreme,LGA 2011-3,140,20,
5,12,cpu,3.3,4.5,,,,6,6,None,Intel,,,,Coffee Lake,Intel Xeon E 2136 3.3 GHz 6-Core LGA1151,030231d4-b07e-4bf5-b674-ad88f361655d,cpu_0012,,Intel Xeon E,LGA 1151,80,12,
1,0,cpu,3.7,4,,,,2,2,AMD Radeon R5 (on-die),AMD,,,,Steamroller,AMD A6 7470K 3.7 GHz 2-Core FM2+ OEM/Tray,038e9a92-9f1f-4367-b501-79d58ea18f30,cpu_0013,,AMD A6,FM2+,65,2,
12,16,cpu,2.6,3.2,,,,12,12,None,AMD,,,,Piledriver,AMD Opteron 6344 2.6 GHz 12-Core G34 OEM/Tray,0418ce9e-cf3e-4e47-9e59-be0cc65da4b1,cpu_0014,,AMD Opteron,G34,115,12,
4,0,cpu,3.6,3.9,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A8 7670K 3.6 GHz 4-Core FM2+,04320339-a372-4ca2-b9d8-9eb857f34fde,cpu_0015,,AMD A8,FM2+,95,4,
1,6,cpu,2.9,3.4,,,,4,4,Intel HD Graphics 4000,Intel,,,,Haswell Refresh,Intel Core i5 4460S 2.9 GHz 4-Core LGA1150,044581b4-70e0-4266-aa09-8bd3d16cadd1,cpu_0016,,Intel Core i5,LGA 1150,65,4,
32,36,cpu,3,5.8,2.2,4.3,,,24,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake,Intel Core i9 13900K 3.0 GHz 24-Core LGA1700,045802be-240a-4bce-9e67-2722f885e671,cpu_0017,,Intel Core i9,LGA 1700,125,32,
1,6,cpu,3.1,3.8,,,,4,4,Intel HD Graphics 2500,Intel,,,,Ivy Bridge,Intel Core i5 3570S 3.1 GHz 4-Core LGA1155 OEM/Tray,047130de-74dd-4b9c-835f-ca2dc1a866fc,cpu_0018,,Intel Core i5,LGA 1155,65,4,
3,32,cpu,3.5,4.4,,,,6,6,None,AMD,,,DDR4,Zen 3,AMD Ryzen 5 5600 3.5 GHz 6-Core AM4,04984638-674b-4384-8866-a7b20d55f8b4,cpu_0019,,AMD Ryzen 5,AM4,65,12,
5,9,cpu,2.8,4,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i5 8400 2.8 GHz 6-Core LGA1151,04ee90ac-3af8-453e-afcb-1e0172871e42,cpu_0020,,Intel Core i5,LGA 1151,65,6,
5,12,cpu,3.4,3.9,,,,6,6,None,Intel,,,,Ivy Bridge,Intel Core i7 4930K 3.4 GHz 6-Core LGA2011,0512ed1f-82fe-456e-8996-fbc141d8fa7c,cpu_0021,,Intel Core i7,LGA 2011,130,12,
5,25,cpu,3,3.5,,,,10,10,None,Intel,,,,Broadwell,Intel Core i7 Extreme 6950X 3 GHz 10-Core LGA2011-3,053bbed3-b857-4a15-b69f-39cf081cadeb,cpu_0022,,Intel Core i7 Extreme,LGA 2011-3,140,20,
1,8,cpu,3.6,4,,,,4,4,Intel HD Graphics P530,Intel,,,,Skylake,Intel Xeon E3 1275 V5 3.6 GHz 4-Core LGA1151,062aeba2-c739-4fb9-b623-d6f319b89cb1,cpu_0023,,Intel Xeon E3,LGA 1151,80,8,
1,10,cpu,3,3.5,,,,4,4,None,Intel,,,,Haswell,Intel Xeon E5 2623 V3 3 GHz 4-Core LGA2011-3,06945a1e-f1c4-46a7-a96d-d66182284689,cpu_0024,,Intel Xeon E5,LGA 2011-3,105,8,
2,4,cpu,3.7,4.2,,,,4,4,AMD Radeon Vega 11,AMD,,,DDR4,Zen+,AMD Ryzen 5 3400G 3.7 GHz 4-Core AM4,06a6ec99-73aa-4cac-9cfb-21fa974ebe70,cpu_0025,,AMD Ryzen 5,AM4,65,8,
2,20,cpu,2.4,3.2,,,,8,8,None,Intel,,,,Haswell,Intel Xeon E5 2630 V3 2.4 GHz 8-Core LGA2011-3,06dd6572-a882-4f86-b3c4-c8c30fe6b476,cpu_0026,,Intel Xeon E5,LGA 2011-3,85,16,
