cache_mb,capacity_gb,category,form_factor,interface,lighting,manufacturer,name,opendb_id,part_id,release_year,series,storage_type,variant
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Barracuda Compute 2TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",00274e77-58c3-4fec-a978-180eaa79bee8,hdd_0001,,Barracuda,HDD,2000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf Pro 8TB HDD 7200RPM 3.5"" SATA Internal",006a3315-d7ff-4a83-9409-fc74d0fbc040,hdd_0002,,IronWolf,HDD,8000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple Pro 12TB HDD 3.5"" SATA",008efe68-90d2-42d6-bc23-f29390cb5dfc,hdd_0003,,Purple,HDD,12000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST6000NM0104 6TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",01f22fe1-0007-41d4-aa16-f0d7b1cc2a1b,hdd_0004,,ST6000NM0104,HDD,6000GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi Travelstar 320 GB 2.5"" HDD 5400 RPM SATA 3.0 Gb/s",02b2285f-dcdf-4b36-bfc3-264da6a20b9f,hdd_0005,,Travelstar,HDD,320GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Blue 320GB HDD 2.5"" 5400RPM SATA",02ed1179-39de-49fe-b2e6-4f42f1bbf86c,hdd_0006,,Scorpio,HDD,320GB
,750,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate BarraCuda 750 GB 3.5"" HDD 7200RPM SATA Internal",02f38c10-b6c5-4203-a292-169a8dd0db00,hdd_0007,,BarraCuda,HDD,750GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital AV-25 320GB HDD 5400RPM 2.5"" SATA",02fd8986-b123-4d2f-815f-0d2b771c8814,hdd_0008,,AV-25,HDD,320GB
,8000,hdd,"3.5""",SAS 12.0 Gb/s,,Hitachi,"Hitachi 0F27406 8TB HDD 3.5"" 7200RPM SAS 12.0 Gb/s Internal",0306f233-69a0-43cd-b961-9b70184360e4,hdd_0009,,0F27406,HDD,8000GB
,10000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate Exos 10TB HDD 7200RPM 3.5"" SAS 12.0 Gb/s",03740959-31f2-48f4-9611-e104b5891c6c,hdd_0010,,Exos,HDD,10000GB
