cache_mb,capacity_gb,category,form_factor,interface,lighting,manufacturer,name,nvme,opendb_id,part_id,release_year,series,storage_type,variant
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Inland,"Inland Premium 512GB SSD M.2 2280 PCIe NVMe 3.0 x4 3D NAND Internal Solid State Drive, High-Speed Read/Write Speed up to 3100 MBps and 1900 MBps, NVMe 1.3 & PCIe 3.1 Compatible",True,0003d658-2e15-416c-b260-d2882258b170,ssd_0001,2019,Inland Premium,SSD,512GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,MSI,MSI SPATIUM M480 HS 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,000e2e21-7ddc-48cd-9a02-7d8b3947263f,ssd_0002,,SPATIUM,SSD,1000GB
,8000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,OWC,OWC Aura Ultra IV 8TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,00238939-8d02-4070-8025-8c959c5e7b5f,ssd_0003,,Aura,SSD,8000GB
,250,ssd,M.2-2280,M.2 SATA,,Western Digital,Western Digital Blue 250GB SSD M.2-2280 SATA,False,00390459-a2a2-4b30-955a-8912dc35076c,ssd_0004,,Blue,SSD,250GB
,1000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,Crucial,Crucial T705 1TB PCIe Gen5 NVMe M.2 SSD with Heatsink,True,003af514-dcb8-4480-982f-32066af96ef6,ssd_0005,2024,T705,SSD,w/ Heatsink
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,FFF Smart Life Connected,FFF Smart Life Connected G-Storategy NV470 w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,00472748-f37c-4f2a-91e0-9ad23f6c0423,ssd_0006,,G-Storategy,SSD,2000GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,PNY,PNY CS2140 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,00ada96b-bca9-401d-8594-3f259b20deeb,ssd_0007,,CS2140,SSD,2000GB
,480,ssd,"2.5""",SATA 6.0 Gb/s,,TEAMGROUP,"TEAMGROUP GX1 480GB SSD 2.5"" SATA",False,00af4c59-a3ea-42a5-b5c7-cd0ded740338,ssd_0008,,GX1,SSD,480GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Crucial,Crucial P310 1TB SSD M.2 PCIe 4.0 NVMe,True,00b812fe-7098-4716-8ce9-855ea3674b76,ssd_0009,,P310,SSD,1000GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,AMD,"AMD RADEON-R7SSD-240G 240 GB SSD 2.5"" SATA 6.0 Gb/s",False,00b82d90-cb28-4cb6-8ec6-4bfa134fda7d,ssd_0010,,RADEON-R7SSD-240G,SSD,240GB
,240,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Lexar,Lexar NM600 240GB M.2-2280 SSD PCIe 3.0 x4 NVMe,True,016fd4e6-db98-4770-9157-d1c087887116,ssd_0011,,NM600,SSD,240GB
,2000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,ADATA,ADATA LEGEND 970 2TB SSD M.2-2280 PCIe 5.0 X4 NVMe,True,0191dd1a-249c-4e1d-ad79-cc2cc368cb6f,ssd_0012,,LEGEND,SSD,2000GB
,120,ssd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Green 120GB SSD 2.5"" SATA",False,01f4f357-575a-4ffa-8727-d19fe2a35dc8,ssd_0013,,Green,SSD,120GB
,256,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Western Digital,Western Digital PC SN730 256GB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,021c469b-063e-4b37-873a-02a39555be0b,ssd_0014,,PC,SSD,256GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,TEAMGROUP,TEAMGROUP Cardea A440 2TB M.2-2280 SSD PCIe 4.0 X4 NVMe,True,0245df99-5b8b-469e-af34-a6e4e8d4f7b7,ssd_0015,,Cardea,SSD,2000GB
